Suggest_Method,Repeat,Iteration,I,H,C,P,Fluorescence
R-LLM,6,32,I5,H3,C4,P4,14484
R-LLM,6,33,I4,H4,C1,P3,195425
R-LLM,6,33,I3,H5,C4,P3,1763
R-LLM,6,34,I5,H2,C2,P1,1817
R-LLM,6,34,I4,H2,C4,P1,31476
R-LLM,6,35,I3,H4,C2,P1,53171
R-LLM,6,35,I4,H1,C5,P2,14448
R-LLM,6,36,I2,H1,C4,P2,807121
R-LLM,6,36,I1,H2,C3,P3,4151
R-LLM,6,37,I4,H1,C2,P2,1332
R-LLM,6,37,I5,H2,C5,P2,1942
R-LLM,6,38,I5,H1,C1,P4,18411
R-LLM,6,38,I3,H3,C4,P2,2832
R-LLM,6,39,I2,H1,C4,P1,333
R-LLM,6,39,I3,H2,C3,P3,429
R-LLM,6,40,I5,H2,C1,P4,42713
R-LLM,6,40,I3,H1,C4,P2,5106
R-LLM,6,41,I4,H1,C3,P2,494
R-LLM,6,41,I2,H5,C3,P4,448
R-LLM,6,42,I1,H2,C4,P4,399845
R-LLM,6,42,I3,H5,C1,P1,275
R-LLM,6,43,I4,H4,C5,P3,83
R-LLM,6,43,I1,H3,C2,P4,1392
R-LLM,6,44,I2,H1,C3,P4,5642
R-LLM,6,44,I5,H4,C2,P4,5755
R-LLM,6,45,I4,H1,C2,P4,1995
R-LLM,6,45,I1,H4,C2,P3,5883
R-LLM,6,46,I1,H5,C1,P3,2255400
R-LLM,6,46,I2,H2,C3,P4,1549
R-LLM,6,47,I3,H4,C5,P3,1628
R-LLM,6,47,I5,H3,C4,P1,912
R-LLM,6,48,I4,H2,C3,P4,463
R-LLM,6,48,I1,H4,C5,P2,175
R-LLM,6,49,I3,H5,C2,P3,116
R-LLM,6,49,I4,H5,C2,P4,3438
R-LLM,6,50,I2,H5,C2,P4,1400
R-LLM,6,50,I1,H2,C5,P4,1517
R-LLM,7,1,I3,H2,C1,P3,8565
R-LLM,7,1,I4,H4,C5,P1,541
R-LLM,7,2,I1,H1,C2,P4,70151
R-LLM,7,2,I5,H3,C4,P2,27981
R-LLM,7,3,I3,H1,C4,P2,5106
R-LLM,7,3,I1,H3,C5,P3,1996
R-LLM,7,4,I2,H1,C4,P3,2434
R-LLM,7,4,I5,H5,C2,P1,6
R-LLM,7,5,I1,H2,C4,P1,1023
R-LLM,7,5,I2,H5,C1,P3,11042
R-LLM,7,6,I1,H1,C1,P3,1189
R-LLM,7,6,I5,H3,C4,P1,912
R-LLM,7,7,I4,H2,C3,P4,463
R-LLM,7,7,I3,H5,C4,P1,36
R-LLM,7,8,I1,H1,C3,P1,35
R-LLM,7,8,I3,H4,C2,P4,7944
R-LLM,7,9,I3,H3,C1,P2,2693
R-LLM,7,9,I2,H4,C4,P4,218758
R-LLM,7,10,I2,H2,C3,P3,11373
R-LLM,7,10,I1,H1,C4,P2,2488
R-LLM,7,11,I2,H2,C4,P2,9817
R-LLM,7,11,I4,H1,C4,P3,18519
R-LLM,7,12,I3,H1,C3,P4,2208
R-LLM,7,12,I4,H3,C2,P2,781
R-LLM,7,13,I3,H2,C2,P1,844
R-LLM,7,13,I4,H5,C3,P1,79
R-LLM,7,14,I3,H4,C3,P2,492
R-LLM,7,14,I5,H1,C3,P4,2794
R-LLM,7,15,I5,H4,C1,P2,197486
R-LLM,7,15,I2,H3,C2,P1,2141
R-LLM,7,16,I4,H1,C4,P1,263
R-LLM,7,16,I2,H1,C2,P4,4276
R-LLM,7,17,I1,H1,C4,P3,5027
R-LLM,7,17,I2,H4,C1,P2,1161728
R-LLM,7,18,I2,H2,C4,P1,4295
R-LLM,7,18,I1,H3,C4,P1,3401
R-LLM,7,19,I2,H4,C5,P2,1858
R-LLM,7,19,I4,H2,C5,P4,133
R-LLM,7,20,I3,H2,C5,P3,484
R-LLM,7,20,I5,H2,C1,P4,42713
R-LLM,7,21,I4,H2,C4,P2,23152
R-LLM,7,21,I2,H5,C4,P4,739
R-LLM,7,22,I2,H4,C1,P4,1682296
R-LLM,7,22,I2,H4,C4,P1,768578
R-LLM,7,23,I4,H1,C5,P2,14448
R-LLM,7,23,I5,H4,C2,P3,208
R-LLM,7,24,I1,H2,C3,P2,5681
R-LLM,7,24,I5,H3,C5,P3,334
R-LLM,7,25,I2,H4,C4,P3,6751
R-LLM,7,25,I5,H4,C1,P3,2773348
R-LLM,7,26,I2,H5,C3,P2,313
R-LLM,7,26,I1,H2,C5,P2,91091
R-LLM,7,27,I2,H4,C1,P4,1682296
R-LLM,7,27,I2,H4,C4,P1,768578
R-LLM,7,28,I5,H4,C4,P1,806841
R-LLM,7,28,I1,H2,C3,P4,50003
R-LLM,7,29,I5,H4,C5,P1,9112
R-LLM,7,29,I4,H5,C4,P3,828
R-LLM,7,30,I4,H5,C4,P2,1042361
R-LLM,7,30,I3,H4,C1,P4,162449
R-LLM,7,31,I3,H1,C5,P4,1066
R-LLM,7,31,I1,H5,C3,P1,204
R-LLM,7,32,I4,H1,C3,P2,494
R-LLM,7,32,I4,H5,C5,P4,127
R-LLM,7,33,I3,H4,C5,P2,684
R-LLM,7,33,I5,H3,C2,P4,780
R-LLM,7,34,I3,H5,C1,P2,62
R-LLM,7,34,I4,H3,C3,P1,96
R-LLM,7,35,I1,H2,C2,P3,119
R-LLM,7,35,I4,H4,C2,P3,7197
R-LLM,7,36,I4,H3,C4,P1,452
R-LLM,7,36,I3,H2,C4,P1,1131
R-LLM,7,37,I4,H2,C3,P1,26
R-LLM,7,37,I3,H5,C2,P3,116
R-LLM,7,38,I4,H5,C2,P2,79
R-LLM,7,38,I5,H2,C5,P3,2388
R-LLM,7,39,I3,H3,C4,P3,87871
R-LLM,7,39,I5,H2,C3,P2,740
R-LLM,7,40,I4,H4,C1,P2,239155
R-LLM,7,40,I4,H4,C3,P3,1274
R-LLM,7,41,I5,H2,C4,P3,82456
R-LLM,7,41,I3,H3,C5,P4,617
R-LLM,7,42,I4,H2,C2,P3,576
R-LLM,7,42,I1,H4,C3,P2,12380
R-LLM,7,43,I5,H1,C4,P1,8119
R-LLM,7,43,I4,H4,C3,P4,61707
R-LLM,7,44,I5,H4,C2,P1,1192715
R-LLM,7,44,I4,H2,C4,P3,1317074
R-LLM,7,45,I1,H4,C2,P2,8411
R-LLM,7,45,I3,H1,C2,P2,444
R-LLM,7,46,I2,H3,C5,P2,5824
R-LLM,7,46,I1,H5,C5,P4,2037
R-LLM,7,47,I1,H2,C2,P1,1318
R-LLM,7,47,I2,H3,C4,P4,1338
R-LLM,7,48,I4,H5,C1,P1,307
R-LLM,7,48,I3,H5,C4,P3,1763
R-LLM,7,49,I1,H5,C2,P4,545
R-LLM,7,49,I2,H1,C1,P4,364
R-LLM,7,50,I4,H4,C3,P2,1014
R-LLM,7,50,I2,H1,C4,P3,2434
R-LLM,8,1,I3,H5,C1,P2,62
R-LLM,8,1,I1,H3,C3,P3,66106
R-LLM,8,2,I4,H2,C4,P4,55257
R-LLM,8,2,I5,H1,C5,P1,3490
R-LLM,8,3,I2,H4,C2,P3,717
R-LLM,8,3,I5,H3,C4,P4,14484
R-LLM,8,4,I1,H3,C4,P2,4374
R-LLM,8,4,I4,H5,C3,P4,1341
R-LLM,8,5,I2,H3,C4,P1,2109
R-LLM,8,5,I3,H2,C5,P3,484
R-LLM,8,6,I5,H2,C1,P3,13334
R-LLM,8,6,I1,H1,C2,P4,70151
R-LLM,8,7,I2,H5,C4,P4,739
R-LLM,8,7,I4,H4,C2,P1,142493
R-LLM,8,8,I5,H4,C1,P2,197486
R-LLM,8,8,I3,H1,C2,P4,2821
R-LLM,8,9,I1,H3,C5,P4,1453
R-LLM,8,9,I2,H2,C3,P1,11
R-LLM,8,10,I1,H4,C4,P3,10325
R-LLM,8,10,I5,H5,C3,P3,5033
R-LLM,8,11,I3,H4,C5,P2,684
R-LLM,8,11,I4,H1,C3,P1,13
R-LLM,8,12,I2,H1,C4,P3,2434
R-LLM,8,12,I5,H2,C3,P4,299
R-LLM,8,13,I1,H1,C4,P1,255
R-LLM,8,13,I5,H2,C4,P2,2787
R-LLM,8,14,I4,H3,C4,P3,1243932
R-LLM,8,14,I2,H1,C5,P2,97843
R-LLM,8,15,I3,H3,C4,P2,2832
R-LLM,8,15,I2,H4,C1,P4,1682296
R-LLM,8,16,I3,H5,C3,P1,46
R-LLM,8,16,I4,H3,C1,P4,17504
R-LLM,8,17,I1,H3,C2,P4,1392
R-LLM,8,17,I5,H2,C5,P3,2388
R-LLM,8,18,I4,H1,C1,P2,129
R-LLM,8,18,I3,H2,C1,P1,1041
R-LLM,8,19,I1,H4,C4,P1,79212
R-LLM,8,19,I2,H2,C1,P2,1438
R-LLM,8,20,I1,H1,C3,P2,3192
R-LLM,8,20,I3,H4,C2,P1,53171
R-LLM,8,21,I5,H5,C5,P4,828
R-LLM,8,21,I2,H5,C2,P3,463
R-LLM,8,22,I4,H3,C2,P1,856
R-LLM,8,22,I1,H5,C4,P3,23348
R-LLM,8,23,I4,H2,C2,P3,576
R-LLM,8,23,I2,H3,C1,P4,15196
R-LLM,8,24,I5,H3,C1,P1,3984
R-LLM,8,24,I3,H4,C3,P4,23537
R-LLM,8,25,I5,H3,C2,P2,622
R-LLM,8,25,I2,H2,C4,P2,9817
R-LLM,8,26,I4,H5,C2,P4,3438
R-LLM,8,26,I3,H1,C3,P2,253
R-LLM,8,27,I4,H2,C5,P4,133
R-LLM,8,27,I1,H2,C2,P1,1318
R-LLM,8,28,I3,H5,C2,P2,51
R-LLM,8,28,I1,H1,C5,P4,6858
R-LLM,8,29,I1,H2,C3,P2,5681
R-LLM,8,29,I4,H5,C5,P3,1351
R-LLM,8,30,I4,H1,C5,P3,270
R-LLM,8,30,I5,H4,C4,P1,806841
R-LLM,8,31,I3,H3,C4,P3,87871
R-LLM,8,31,I2,H2,C2,P4,5820
R-LLM,8,32,I2,H3,C4,P1,2109
R-LLM,8,32,I4,H5,C4,P3,828
R-LLM,8,33,I5,H3,C5,P3,334
R-LLM,8,33,I1,H4,C3,P4,390622
R-LLM,8,34,I2,H4,C2,P2,7585
R-LLM,8,34,I5,H1,C5,P1,3490
R-LLM,8,35,I2,H2,C5,P4,614
R-LLM,8,35,I3,H1,C4,P3,968
R-LLM,8,36,I1,H3,C1,P1,4217
R-LLM,8,36,I3,H2,C3,P4,608
R-LLM,8,37,I2,H1,C1,P4,364
R-LLM,8,37,I4,H3,C5,P4,307
R-LLM,8,38,I5,H3,C2,P3,4960
R-LLM,8,38,I4,H1,C4,P3,18519
R-LLM,8,39,I5,H1,C2,P2,13391
R-LLM,8,39,I3,H2,C2,P4,216
R-LLM,8,40,I3,H1,C2,P3,5071
R-LLM,8,40,I5,H5,C1,P4,237
R-LLM,8,41,I2,H5,C3,P4,448
R-LLM,8,41,I4,H3,C3,P1,96
R-LLM,8,42,I2,H5,C5,P1,204
R-LLM,8,42,I3,H4,C5,P1,611
R-LLM,8,43,I1,H1,C2,P2,80
R-LLM,8,43,I5,H4,C3,P4,5903
R-LLM,8,44,I2,H1,C4,P2,807121
R-LLM,8,44,I5,H4,C2,P1,1192715
R-LLM,8,45,I4,H3,C4,P2,26785
R-LLM,8,45,I1,H3,C5,P2,11357
R-LLM,8,46,I1,H2,C3,P1,67
R-LLM,8,46,I4,H2,C3,P2,198
R-LLM,8,47,I1,H2,C4,P3,195055
R-LLM,8,47,I3,H3,C5,P4,617
R-LLM,8,48,I4,H4,C5,P1,541
R-LLM,8,48,I3,H5,C4,P2,123056
R-LLM,8,49,I2,H4,C2,P1,642076
R-LLM,8,49,I4,H5,C1,P3,7614
R-LLM,8,50,I2,H1,C5,P1,14763
R-LLM,8,50,I5,H2,C3,P2,740
R-LLM,9,1,I5,H2,C4,P2,2787
R-LLM,9,1,I2,H3,C1,P3,5224
R-LLM,9,2,I1,H4,C2,P4,53404
R-LLM,9,2,I3,H1,C5,P1,1330
R-LLM,9,3,I4,H5,C3,P2,97728
R-LLM,9,3,I2,H3,C4,P1,2109
R-LLM,9,4,I3,H3,C4,P4,19498
R-LLM,9,4,I2,H5,C2,P3,463
R-LLM,9,5,I4,H2,C1,P4,1624
R-LLM,9,5,I1,H1,C3,P1,35
R-LLM,9,6,I5,H1,C3,P4,2794
R-LLM,9,6,I3,H4,C5,P2,684
R-LLM,9,7,I4,H2,C4,P3,1317074
R-LLM,9,7,I1,H3,C5,P2,11357
R-LLM,9,8,I2,H2,C3,P1,11
R-LLM,9,8,I3,H5,C4,P2,123056
R-LLM,9,9,I5,H4,C5,P3,399
R-LLM,9,9,I1,H2,C3,P4,50003
R-LLM,9,10,I4,H3,C4,P1,452
R-LLM,9,10,I3,H2,C3,P4,608
R-LLM,9,11,I4,H3,C5,P4,307
R-LLM,9,11,I5,H4,C2,P3,208
R-LLM,9,12,I1,H1,C4,P3,5027
R-LLM,9,12,I4,H4,C4,P2,1830
R-LLM,9,13,I2,H4,C3,P2,84917
R-LLM,9,13,I5,H5,C4,P3,965
R-LLM,9,14,I1,H2,C5,P1,300
R-LLM,9,14,I5,H3,C2,P2,622
R-LLM,9,15,I2,H4,C1,P4,1682296
R-LLM,9,15,I3,H5,C1,P3,17599
R-LLM,9,16,I4,H4,C1,P3,195425
R-LLM,9,16,I2,H1,C2,P4,4276
R-LLM,9,17,I4,H2,C2,P1,1222
R-LLM,9,17,I1,H3,C2,P1,3254
R-LLM,9,18,I4,H1,C5,P2,14448
R-LLM,9,18,I2,H5,C1,P4,1083
R-LLM,9,19,I3,H1,C2,P3,5071
R-LLM,9,19,I5,H5,C1,P4,237
R-LLM,9,20,I1,H2,C1,P2,332
R-LLM,9,20,I4,H1,C1,P4,106
R-LLM,9,21,I1,H4,C3,P3,47866
R-LLM,9,21,I2,H1,C5,P4,3087
R-LLM,9,22,I4,H1,C4,P3,18519
R-LLM,9,22,I1,H5,C4,P1,3280
R-LLM,9,23,I5,H5,C3,P2,5679
R-LLM,9,23,I3,H4,C2,P2,6784
R-LLM,9,24,I2,H2,C1,P2,1438
R-LLM,9,24,I3,H3,C4,P1,2850
R-LLM,9,25,I1,H1,C5,P3,2681
R-LLM,9,25,I4,H5,C1,P2,26
R-LLM,9,26,I2,H4,C2,P3,717
R-LLM,9,26,I3,H1,C4,P2,5106
R-LLM,9,27,I1,H5,C2,P3,955
R-LLM,9,27,I5,H2,C5,P1,861
R-LLM,9,28,I4,H3,C1,P1,715
R-LLM,9,28,I5,H1,C1,P4,18411
R-LLM,9,29,I5,H4,C3,P1,61707
R-LLM,9,29,I4,H2,C3,P3,719
R-LLM,9,30,I4,H2,C5,P4,133
R-LLM,9,30,I5,H3,C4,P3,125959
R-LLM,9,31,I3,H2,C1,P3,8565
R-LLM,9,31,I5,H1,C2,P2,13391
R-LLM,9,32,I1,H5,C1,P2,1096
R-LLM,9,32,I5,H2,C1,P4,42713
R-LLM,9,33,I1,H2,C2,P3,119
R-LLM,9,33,I2,H1,C4,P3,2434
R-LLM,9,34,I4,H3,C2,P1,856
R-LLM,9,34,I5,H2,C4,P2,2787
R-LLM,9,35,I1,H5,C1,P3,2255400
R-LLM,9,35,I2,H1,C3,P4,5642
R-LLM,9,36,I1,H1,C5,P4,6858
R-LLM,9,36,I4,H4,C5,P1,541
R-LLM,9,37,I3,H3,C2,P2,114
R-LLM,9,37,I2,H2,C5,P1,432
R-LLM,9,38,I3,H4,C3,P3,2399
R-LLM,9,38,I5,H2,C1,P3,13334
R-LLM,9,39,I1,H4,C1,P1,182961
R-LLM,9,39,I2,H2,C4,P3,347695
R-LLM,9,40,I5,H3,C5,P2,1507
R-LLM,9,40,I1,H5,C3,P4,423
R-LLM,9,41,I2,H5,C4,P2,596857
R-LLM,9,41,I3,H3,C3,P2,51
R-LLM,9,42,I2,H4,C5,P2,1858
R-LLM,9,42,I1,H3,C1,P2,907
R-LLM,9,43,I5,H4,C2,P4,5755
R-LLM,9,43,I2,H5,C3,P1,98
R-LLM,9,44,I3,H2,C5,P3,484
R-LLM,9,44,I5,H4,C1,P2,197486
R-LLM,9,45,I2,H4,C2,P1,642076
R-LLM,9,45,I4,H3,C2,P3,20
R-LLM,9,46,I3,H5,C2,P1,235
R-LLM,9,46,I5,H5,C4,P1,50
R-LLM,9,47,I1,H1,C3,P3,235
R-LLM,9,47,I4,H4,C2,P4,31394
R-LLM,9,48,I3,H3,C4,P2,2832
R-LLM,9,48,I1,H5,C5,P2,1337
R-LLM,9,49,I1,H3,C1,P4,29072
R-LLM,9,49,I5,H2,C3,P4,299
R-LLM,9,50,I2,H3,C3,P4,512
R-LLM,9,50,I5,H3,C2,P1,1791
R-LLM,10,1,I5,H1,C2,P2,13391
R-LLM,10,1,I3,H1,C4,P3,968
R-LLM,10,2,I1,H2,C3,P1,67
R-LLM,10,2,I4,H3,C5,P4,307
R-LLM,10,3,I5,H2,C1,P4,42713
R-LLM,10,3,I2,H4,C3,P1,38
R-LLM,10,4,I3,H3,C2,P4,306
R-LLM,10,4,I4,H4,C1,P3,195425
R-LLM,10,5,I1,H5,C4,P2,1189738
R-LLM,10,5,I2,H2,C2,P4,5820
R-LLM,10,6,I5,H4,C4,P1,806841
R-LLM,10,6,I1,H3,C1,P3,7073
R-LLM,10,7,I2,H3,C5,P2,5824
R-LLM,10,7,I4,H5,C4,P3,828
R-LLM,10,8,I5,H5,C2,P2,73
R-LLM,10,8,I2,H1,C5,P3,1102699
R-LLM,10,9,I3,H5,C3,P4,657
R-LLM,10,9,I4,H2,C3,P1,26
R-LLM,10,10,I2,H1,C4,P2,807121
R-LLM,10,10,I5,H3,C3,P3,6468
R-LLM,10,11,I2,H5,C1,P3,11042
R-LLM,10,11,I3,H4,C2,P1,53171
R-LLM,10,12,I1,H4,C5,P4,14307
R-LLM,10,12,I3,H2,C1,P2,2505
R-LLM,10,13,I4,H5,C2,P1,9
R-LLM,10,13,I1,H1,C3,P4,65332
R-LLM,10,14,I4,H2,C5,P2,14505
R-LLM,10,14,I5,H2,C5,P3,2388
R-LLM,10,15,I3,H5,C4,P2,123056
R-LLM,10,15,I2,H3,C4,P4,1338
R-LLM,10,16,I3,H5,C2,P3,116
R-LLM,10,16,I2,H4,C1,P2,1161728
R-LLM,10,17,I5,H1,C4,P2,1451
R-LLM,10,17,I2,H1,C3,P4,5642
R-LLM,10,18,I5,H5,C1,P3,1706
R-LLM,10,18,I3,H4,C3,P3,2399
R-LLM,10,19,I5,H3,C4,P4,14484
R-LLM,10,19,I2,H2,C5,P1,432
R-LLM,10,20,I3,H1,C4,P3,968
R-LLM,10,20,I5,H4,C2,P4,5755
R-LLM,10,21,I5,H2,C3,P1,64
R-LLM,10,21,I4,H1,C4,P4,10865
R-LLM,10,22,I2,H5,C3,P2,313
R-LLM,10,22,I4,H1,C2,P3,6059
R-LLM,10,23,I2,H1,C2,P3,12701
R-LLM,10,23,I4,H4,C2,P1,142493
R-LLM,10,24,I4,H4,C3,P2,1014
R-LLM,10,24,I5,H5,C4,P3,965
R-LLM,10,25,I4,H1,C1,P2,129
R-LLM,10,25,I2,H2,C1,P2,1438
R-LLM,10,26,I3,H1,C5,P3,386
R-LLM,10,26,I1,H3,C2,P4,1392
R-LLM,10,27,I1,H4,C3,P2,12380
R-LLM,10,27,I5,H3,C5,P1,4533
R-LLM,10,28,I5,H1,C5,P1,3490
R-LLM,10,28,I2,H4,C5,P1,9539
R-LLM,10,29,I2,H2,C5,P3,234
R-LLM,10,29,I4,H5,C1,P4,331
R-LLM,10,30,I3,H2,C4,P2,670
R-LLM,10,30,I1,H3,C3,P1,159
R-LLM,10,31,I1,H1,C5,P3,2681
R-LLM,10,31,I3,H3,C4,P2,2832
R-LLM,10,32,I2,H4,C4,P1,768578
R-LLM,10,32,I4,H4,C4,P3,7499
R-LLM,10,33,I4,H1,C1,P1,768
R-LLM,10,33,I2,H4,C3,P3,81404
R-LLM,10,34,I2,H1,C1,P4,364
R-LLM,10,34,I5,H4,C4,P2,5605
R-LLM,10,35,I2,H5,C2,P4,1400
R-LLM,10,35,I5,H3,C1,P2,3299
R-LLM,10,36,I1,H1,C3,P2,3192
R-LLM,10,36,I3,H1,C4,P4,33311
R-LLM,10,37,I1,H1,C4,P4,357030
R-LLM,10,37,I2,H3,C1,P1,2217
R-LLM,10,38,I2,H3,C5,P1,5717
R-LLM,10,38,I4,H2,C1,P3,4469
R-LLM,10,39,I4,H5,C5,P1,139
R-LLM,10,39,I4,H3,C1,P3,3986
R-LLM,10,40,I1,H2,C5,P4,1517
R-LLM,10,40,I3,H1,C3,P2,253
R-LLM,10,41,I1,H2,C2,P1,1318
R-LLM,10,41,I3,H3,C1,P4,52156
R-LLM,10,42,I2,H4,C3,P4,12380
R-LLM,10,42,I3,H2,C4,P1,1131
R-LLM,10,43,I2,H2,C4,P3,347695
R-LLM,10,43,I3,H5,C2,P1,235
R-LLM,10,44,I2,H1,C4,P1,333
R-LLM,10,44,I3,H4,C1,P2,5963
R-LLM,10,45,I5,H3,C2,P3,4960
R-LLM,10,45,I4,H1,C3,P2,494
R-LLM,10,46,I3,H2,C5,P3,484
R-LLM,10,46,I4,H5,C3,P2,97728
R-LLM,10,47,I1,H4,C2,P3,5883
R-LLM,10,47,I2,H2,C4,P2,9817
R-LLM,10,48,I1,H2,C3,P2,5681
R-LLM,10,48,I4,H3,C5,P4,307
R-LLM,10,49,I5,H4,C5,P3,399
R-LLM,10,49,I2,H2,C3,P3,11373
R-LLM,10,50,I1,H4,C5,P1,690
R-LLM,10,50,I4,H2,C5,P1,387
R-LLM,11,1,I5,H5,C2,P2,73
R-LLM,11,1,I5,H2,C4,P1,92071
R-LLM,11,2,I1,H3,C1,P3,7073
R-LLM,11,2,I3,H4,C5,P4,1162
R-LLM,11,3,I2,H1,C3,P2,459
R-LLM,11,3,I4,H5,C4,P3,828
R-LLM,11,4,I1,H2,C4,P1,1023
R-LLM,11,4,I3,H5,C4,P2,123056
R-LLM,11,5,I4,H3,C3,P2,1122
R-LLM,11,5,I2,H4,C5,P1,9539
R-LLM,11,6,I4,H1,C2,P4,1995
R-LLM,11,6,I2,H3,C5,P3,6386
R-LLM,11,7,I5,H2,C1,P4,42713
R-LLM,11,7,I3,H4,C4,P3,183711
R-LLM,11,8,I5,H2,C1,P3,13334
R-LLM,11,8,I1,H5,C4,P2,1189738
R-LLM,11,9,I3,H2,C4,P1,1131
R-LLM,11,9,I2,H5,C4,P3,2953
R-LLM,11,10,I4,H2,C4,P1,31476
R-LLM,11,10,I1,H2,C4,P4,399845
R-LLM,11,11,I1,H3,C4,P4,5274
R-LLM,11,11,I4,H4,C4,P2,1830
R-LLM,11,12,I3,H1,C4,P3,968
R-LLM,11,12,I5,H3,C4,P4,14484
R-LLM,11,13,I3,H4,C2,P1,53171
R-LLM,11,13,I2,H1,C5,P4,3087
R-LLM,11,14,I3,H2,C5,P1,430
R-LLM,11,14,I5,H1,C4,P3,455263
R-LLM,11,15,I1,H4,C4,P2,89908
R-LLM,11,15,I4,H5,C1,P1,307
R-LLM,11,16,I5,H2,C1,P2,2170
R-LLM,11,16,I1,H5,C4,P3,23348
R-LLM,11,17,I3,H5,C1,P1,275
R-LLM,11,17,I4,H3,C4,P4,7066
R-LLM,11,18,I5,H4,C4,P3,11626
R-LLM,11,18,I3,H2,C4,P2,670
R-LLM,11,19,I2,H2,C4,P2,9817
R-LLM,11,19,I3,H3,C4,P2,2832
R-LLM,11,20,I4,H4,C1,P3,195425
R-LLM,11,20,I2,H3,C1,P1,2217
R-LLM,11,21,I1,H3,C3,P4,4138
R-LLM,11,21,I2,H4,C3,P4,12380
R-LLM,11,22,I5,H1,C4,P1,8119
R-LLM,11,22,I5,H3,C4,P2,27981
R-LLM,11,23,I1,H4,C2,P3,5883
R-LLM,11,23,I4,H2,C1,P4,1624
R-LLM,11,24,I1,H3,C4,P2,4374
R-LLM,11,24,I4,H5,C3,P4,1341
R-LLM,11,25,I2,H1,C2,P1,2440
R-LLM,11,25,I4,H2,C2,P3,576
R-LLM,11,26,I3,H5,C4,P4,4329
R-LLM,11,26,I1,H2,C3,P3,4151
R-LLM,11,27,I1,H2,C3,P2,5681
R-LLM,11,27,I3,H3,C5,P4,617
R-LLM,11,28,I3,H3,C2,P2,114
R-LLM,11,28,I2,H1,C1,P3,1019
R-LLM,11,29,I1,H1,C4,P4,357030
R-LLM,11,29,I3,H4,C3,P2,492
R-LLM,11,30,I1,H1,C5,P2,4490
R-LLM,11,30,I3,H2,C3,P3,429
R-LLM,11,31,I2,H5,C4,P4,739
R-LLM,11,31,I4,H1,C4,P2,10374
R-LLM,11,32,I2,H3,C2,P4,397
R-LLM,11,32,I1,H4,C1,P1,182961
R-LLM,11,33,I1,H1,C4,P1,255
R-LLM,11,33,I1,H1,C4,P3,5027
R-LLM,11,34,I2,H1,C3,P1,11
R-LLM,11,34,I3,H3,C3,P1,69
R-LLM,11,35,I2,H4,C4,P4,218758
R-LLM,11,35,I3,H1,C1,P3,5964
R-LLM,11,36,I4,H3,C1,P2,1685
R-LLM,11,36,I5,H2,C5,P3,2388
R-LLM,11,37,I2,H2,C2,P1,156
R-LLM,11,37,I4,H4,C2,P4,31394
R-LLM,11,38,I2,H2,C1,P3,1187
R-LLM,11,38,I5,H4,C3,P4,5903
R-LLM,11,39,I2,H5,C1,P3,11042
R-LLM,11,39,I4,H4,C1,P4,568488
R-LLM,11,40,I4,H4,C2,P1,142493
R-LLM,11,40,I3,H1,C5,P2,11260
R-LLM,11,41,I5,H2,C4,P4,77495
R-LLM,11,41,I4,H1,C4,P3,18519
R-LLM,11,42,I3,H1,C4,P2,5106
R-LLM,11,42,I2,H4,C1,P3,549731
R-LLM,11,43,I3,H2,C2,P3,266
R-LLM,11,43,I4,H3,C5,P4,307
R-LLM,11,44,I5,H2,C3,P2,740
R-LLM,11,44,I1,H3,C5,P3,1996
R-LLM,11,45,I5,H1,C4,P2,1451
R-LLM,11,45,I1,H4,C4,P3,10325
R-LLM,11,46,I1,H5,C3,P4,423
R-LLM,11,46,I3,H3,C1,P4,52156
R-LLM,11,47,I4,H2,C5,P4,133
R-LLM,11,47,I1,H4,C5,P2,175
R-LLM,11,48,I1,H5,C4,P4,43692
R-LLM,11,48,I5,H5,C4,P4,1427
R-LLM,11,49,I3,H2,C3,P4,608
R-LLM,11,49,I5,H1,C3,P4,2794
R-LLM,11,50,I1,H4,C4,P1,79212
R-LLM,11,50,I3,H2,C1,P1,1041
R-LLM,12,1,I4,H4,C5,P1,541
R-LLM,12,1,I3,H5,C1,P4,468
R-LLM,12,2,I1,H2,C3,P2,5681
R-LLM,12,2,I2,H3,C4,P3,525213
R-LLM,12,3,I1,H1,C2,P3,13047
R-LLM,12,3,I5,H3,C4,P2,27981
R-LLM,12,4,I4,H3,C4,P1,452
R-LLM,12,4,I2,H5,C3,P4,448
R-LLM,12,5,I3,H4,C4,P3,183711
R-LLM,12,5,I5,H2,C5,P4,368
R-LLM,12,6,I2,H5,C1,P3,11042
R-LLM,12,6,I4,H2,C3,P2,198
R-LLM,12,7,I3,H1,C2,P1,613
R-LLM,12,7,I5,H4,C3,P2,775
R-LLM,12,8,I1,H3,C4,P3,40329
R-LLM,12,8,I2,H1,C5,P4,3087
R-LLM,12,9,I3,H2,C4,P3,2674917
R-LLM,12,9,I4,H1,C5,P2,14448
R-LLM,12,10,I2,H4,C2,P1,642076
R-LLM,12,10,I3,H5,C3,P4,657
R-LLM,12,11,I1,H1,C4,P4,357030
R-LLM,12,11,I2,H3,C5,P1,5717
R-LLM,12,12,I1,H1,C1,P3,1189
R-LLM,12,12,I5,H5,C4,P4,1427
R-LLM,12,13,I3,H3,C4,P4,19498
R-LLM,12,13,I2,H4,C5,P2,1858
R-LLM,12,14,I1,H2,C4,P1,1023
R-LLM,12,14,I4,H5,C5,P3,1351
